"ano","mes","dia","hora","min","seg","lat","lon","dep","uf","n1","mag","n2","s1","s2","n3","s3"
1986,6,14,6,25,30,-24.42,-60.54,100,-,0,3.5,1,I,-,,PARAGUAI     (UnB)
1986,8,6,1,51,39,-4.50,-65.90,100,AM,0,3.8,1,I,-,,RIO TEFE'    (UnB)
1986,8,20,18,0,14,-5.53,-35.75,10,RN,0,3.8,1,C,5,,"Joao Camara  (UFRN,UnB,IAG)"
1986,8,21,9,34,40,-5.52,-35.73,5,RN,0,4.2,1,A,7-Jun,,"Joao Camara  (UFRN,UnB,IAG) sentido J. Pessoa e Recife"
1986,8,23,20,6,31,-5.53,-35.75,10,RN,0,3.7,1,I,-,,"Joao Camara  (UnB,UFRN,IAG)"
1986,9,3,1,16,6,-5.50,-35.74,5,RN,0,4.1,1,A,6,,"Joao Camara  (IAG,UnB,UFRN)"
1986,9,5,20,39,28,-5.51,-35.76,5,RN,0,4.1,1,A,6,,"Joao Camara  (IAG,UnB,UFRN)"
1986,9,9,20,2,36,-5.53,-35.75,10,RN,0,3.6,1,I,-,,"Joao Camara  (IAG,UnB,UFRN)"
1986,9,11,9,5,41,-5.53,-35.75,10,RN,0,3.6,1,I,-,,Joao Camara  (IAG)
1986,11,17,23,23,6,-11.56,-56.58,40,MT,0,3.6,1,I,-,,Pto.Gauchos  (UnB)
1986,11,30,5,19,50,-5.53,-35.75,10,RN,0,5.1,1,A,7,,"Joao Camara  (UnB,UFRN,IAG)"
1986,11,30,5,26,10,-5.53,-35.75,10,RN,0,3.9,1,I,-,,Joao Camara  (UnB)
1986,11,30,6,7,35,-5.53,-35.75,10,RN,0,4.0,1,I,-,,"Joao Camara  (UnB,IAG)"
1986,11,30,6,10,20,-5.53,-35.75,10,RN,0,4.2,1,I,-,,"Joao Camara  (UnB,IAG)"
1986,11,30,6,58,57,-5.53,-35.75,10,RN,0,3.8,1,I,-,,"Joao Camara  (UnB,IAG)"
1986,11,30,7,2,5,-5.53,-35.75,10,RN,0,4.2,1,I,-,,"Joao Camara  (UnB,IAG)"
1986,11,30,14,1,47,-5.53,-35.75,10,RN,0,3.8,1,I,-,,"Joao Camara  (IAG,UnB,UFRN)"
1986,12,1,1,4,51,-5.53,-35.75,10,RN,0,3.8,1,I,-,,"Joao Camara  (IAG,UnB,UFRN)"
1986,12,2,9,50,48,-5.53,-35.75,10,RN,0,3.6,1,I,-,,"Joao Camara  (IAG,UnB)"
1986,12,3,10,6,2,-5.53,-35.75,10,RN,0,3.6,1,I,-,,"Joao Camara  (UnB,IAG,UFRN)"
1986,12,5,22,10,8,-5.53,-35.75,10,RN,0,4.0,1,I,-,,"Joao Camara  (IAG,UnB,UFRN)"
1986,12,6,9,31,32,-5.53,-35.75,10,RN,0,3.6,1,I,-,,"Joao Camara  (IAG,UnB,UFRN)"
1986,12,6,9,51,4,-5.53,-35.75,10,RN,0,3.8,1,I,-,,"Joao Camara  (IAG,UnB,UFRN)"
