"ano","mes","dia","hora","min","seg","lat","lon","dep","uf","n1","mag","n2","s1","s2","n3","s3"
2002,6,30,21,39,31,-8.26,-35.96,5,PE,0,3.8,1,I,5-Apr,,"Caruaru      (UFRN,IAG,UnB)"
2002,9,28,9,35,8,-12.56,-38.65,20,BA,0,3.7,1,I,-,,"Sto. Amaro   (IAG,UnB)(IAG3.8-UnB3.5)"
2002,10,2,5,50,13,-10.26,-69.64,0,AC,0,4.0,1,I,-,,Guanabara    (UnB)
2002,10,10,21,9,33,-12.80,-38.86,20,BA,0,3.6,1,I,-,,"Amargosa     (IAG,UnB)"
2002,10,27,20,23,25,-8.03,-49.78,80,PA,0,3.7,1,I,-,,"NE Redencao  (IAG,UnB)"
2003,1,9,3,19,32,-23.83,-42.98,20,SP,0,3.5,1,I,-,,"Margem Cont. (IAG,IPT)"
2003,5,11,13,45,38,-16.73,-54.29,20,MT,0,3.7,1,I,-,,"Rondonopolis (IAG,UnB) (IAG3.9 - UnB3.5)"
2003,6,23,6,9,6,-26.44,-41.73,30,SC,0,4.1,1,I,-,,"Margem Cont. (IAG,UnB,IPT) (IAG3.6,UnB4.5)"
2003,7,14,9,8,38,-12.64,-47.68,30,TO,0,3.6,1,I,-,,"Parana       (IAG,UnB) (IAG3.8,UnB3.3)"
2003,10,28,23,21,55,-17.38,-56.22,50,MT,0,3.5,1,I,-,,SSW-Pocone   (IAG)
2003,11,15,0,20,27,-8.34,-50.04,20,PA,0,3.9,1,I,-,,Con.Araguaia (IAG)
2004,5,16,14,29,37,-25.22,-44.72,50,SP,0,3.9,1,I,-,,"Margem Cont. (IAG,IPT,UNESP-RC)"
2004,7,6,14,44,16,-3.20,-72.92,40,AC,15,4.0,0,I,-,,Peru/Brasil  (ISC)
2005,3,23,21,12,0,-11.60,-56.75,0,MT,1,5.0,0,I,6-May,,P.Gauchos     (UnB)
2005,7,20,16,43,6,-11.60,-56.78,30,MT,0,4.3,1,I,4,,"P.Gauchos    (UnB,IAG)"
2005,9,24,20,38,1,-11.88,-57.40,30,MT,0,3.9,1,I,-,,P.Gauchos    (IAG)
2006,1,4,22,54,37,-24.41,-50.70,20,PR,0,4.1,1,I,4,,"Telem.Borba  (IAG,UNESP-RC,IPT,UnB)"
2006,5,20,4,25,0,-8.23,-36.15,5,PE,0,4.0,1,I,6-May,,Sao Caetano  (UFRN)
2006,6,8,16,29,13,4.88,-51.96,15,AP,3,5.2,0,I,-,,"Caiena       (ISC,UnB,IAG) Oiapoque IIMM"
2006,9,1,13,55,0,-8.23,-36.15,5,PE,0,3.6,1,I,-,,Sao Caetano  (UFRN)
2006,9,2,23,56,0,-5.00,-35.00,30,RN,0,4.0,1,I,-,,Plataforma   (UFRN) sentido em Natal
2006,11,26,2,11,57,-22.04,-40.25,30,RJ,0,3.6,1,I,-,,"Margem Cont. (IAG,UnB,IPT)"
2007,3,20,13,38,53,-8.26,-36.16,5,PE,0,3.9,1,I,-,,"S.Caetano    (UFRN=3.9,IAG=3.8)"
2007,3,27,19,45,49,-26.66,-46.88,30,SC,0,3.5,1,I,-,,"Margem Cont. (IAG,UnB,IPT)"
2007,5,24,15,30,58,-15.45,-43.91,20,MG,0,3.8,1,I,5-Apr,,"Januaria     (IAG=3.5,UnB=3.5USGS=4.4h=10G)"
2007,7,14,5,33,32,-19.56,-46.29,5,MG,0,3.5,1,I,4-Mar,,"Ibia,Pratinha (UnB,IAG,UNESP-RC,IPT)"
2007,10,31,21,15,55,3.50,-48.12,10,AP,0,5.1,0,I,-,,MContinental (GS)
2007,12,9,2,3,28,-15.03,-44.30,2,MG,1,4.9,0,I,7,,Itacarambi/Caraibas (UnB)
2008,2,8,19,5,14,-24.56,-44.89,20,SP,0,3.9,1,I,"	",Plataf.,"Cont. (IAG,UNESP-RC)"
2008,2,17,1,57,0,-3.62,-40.53,5,CE,4,3.6,1,I,4,"	  Sobr","al       (UFRN,UnB)"
2008,2,29,4,46,0,-3.62,-40.53,5,CE,4,3.5,1,I,"	",Sobral,(UFRN) muitos tremores...
2008,3,19,22,12,0,-15.07,-44.09,5,MG,1,4.0,1,I,"	",Itacara,mbi   (UnB)
2008,4,4,17,8,0,-3.62,-40.53,5,CE,4,3.9,1,I,"	",Sobral,(UFRN)
2008,4,20,6,39,54,-24.80,-40.89,10,SP,0,3.6,1,I,"	",PlatafC,"ontin (IAG,IPT)"
2008,4,23,0,0,48,-25.70,-45.41,10,SP,17,5.2,1,I,4-,"5	  Pla","tafContin (IAG,IPT,UnB,UNESP,BeVas)"
2008,5,21,19,23,55,-3.62,-40.53,5,CE,4,4.2,1,I,"	",Sobral,"(UFRN,UnB,IAG)"
2008,5,21,19,28,16,-3.62,-40.53,5,CE,4,3.9,1,I,"	",Sobral,"(UFRN,UnB,IAG)"
2008,12,19,22,55,18,-31.77,-49.59,25,RS,0,4.0,0,I,"	",Plat. T,orres (NEIC)
2009,6,15,22,15,45,-18.49,-55.80,10,MS,6,4.8,0,I,"	",Coxim,"(NEIC,IAG)"
2009,9,9,4,11,46,-1.90,-61.43,50,RR,0,4.2,1,I,-,,Roraima      (UnB)
2009,11,26,22,55,45,0.76,-43.00,20,MA,5,4.0,1,I,-,,PlatafContin.(IAG)
2009,12,2,2,39,31,-10.37,-52.71,20,MT,5,3.5,1,I,-,,Sta.CruzXingu(UnB)
2010,1,9,18,18,39,-5.68,-35.68,5,RN,10,3.5,1,I,-,,"Taipu        (UFRN,UnB)"
2010,1,11,15,54,30,-5.68,-35.68,5,RN,10,4.3,1,I,-,,"Taipu        (UFRN,UnB)Sentido Natal,Recife,Paraiba"
2010,1,28,3,45,29,-19.50,-43.95,10,MG,5,3.6,1,I,-,,BeloHorizonte(UnB)
2010,2,27,9,35,5,-11.62,-56.70,40,MT,5,3.5,1,I,-,,PortoGauchos (UnB)~40km Tabapora-M
2010,4,25,23,9,50,-6.82,-72.98,30,AC,17,4.9,0,I,-,,Acre         (GS)
2010,7,1,16,44,19,-22.43,-40.65,50,RJ,0,3.8,1,I,4,,"Plataforma,RJ (IAG) Pampo+Enchova"
2010,10,4,19,7,1,-13.72,-49.16,5,GO,0,3.6,1,I,4,,"Mara Rosa  (UnB, IAG)"
2010,10,8,20,16,55,-13.77,-49.15,5,GO,2,5.0,0,I,,,Mara Rosa  (USGS)
2010,10,8,20,25,18,-13.77,-49.15,3,GO,2,4.2,0,I,6,,Mara Rosa  (IAG)
2010,10,26,5,34,18,-13.79,-49.99,20,MT,0,3.5,1,I,-,,StaCruzXingu (UnB)
2010,11,28,10,21,20,-7.47,-50.40,20,PA,0,4.2,1,I,-,,"Redencao     (UnB,IAG)"
2010,12,9,21,29,14,-13.40,-46.32,30,GO,0,3.7,1,I,-,,"Sao Domingos (UnB,IAG)"
2011,1,8,11,49,38,-13.52,-48.84,30,GO,0,4.1,1,I,-,,"Trombas/Form.(UnB,IAG)"
2011,3,4,7,0,0,-13.78,-49.21,10,GO,0,3.7,1,I,-,,Estrela Norte(UnB)
2011,4,30,8,16,22,-11.17,-48.70,30,TO,0,3.6,1,I,-,,Brejinho de Nazare (UnB)
2012,3,31,16,9,53,-13.45,-49.96,30,GO,0,3.7,1,I,-,,S.Miguel Araguaia (GO)
2012,5,19,13,42,2,-16.70,-43.89,5,MG,0,4.0,1,I,5,,"Montes Claros(IAG,UnB,UFRN,USGS)"
